,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
19,0.971,0.354,188.116,0.161,0.000725,0.0,0.412,137307,-3.757,0.48,6ZDip2Ee7uMlHndFvFt26L,energetic
20,0.747,0.221,106.021,0.0342,0.177,0.0,0.676,256344,-4.639,0.449,5xlUcf5txiXDgPleHzkm8s,energetic
21,0.843,0.0699,175.798,0.114,0.000839,3.02e-05,0.282,161054,-6.002,0.418,2WRk6RxETSwdsg2dhtnXxc,energetic
22,0.889,0.391,108.279,0.172,0.0185,0.000661,0.363,235147,-6.722,0.589,0gnS1k4dyGPuD3TtHFaCD8,energetic
23,0.942,0.431,119.992,0.237,0.00039,6.36e-06,0.354,207987,-3.245,0.242,2hEYslbdYWFSIA6JboUvnR,energetic
24,0.887,0.37,145.141,0.0439,5.67e-05,0.274,0.368,212856,-4.995,0.459,0PolLOpygR0TWHkszVKOXz,energetic
25,0.865,0.141,148.013,0.0365,0.000583,0.0,0.42,243593,-5.502,0.341,1OgRBv3J0mxawWAMKE1dOd,energetic
26,0.907,0.0982,112.037,0.0488,0.00115,0.0,0.568,230933,-4.641,0.337,6x5deYIe42rgRbStECDjYQ,energetic
27,0.927,0.0849,136.021,0.0858,0.00421,0.000367,0.642,197280,-4.101,0.374,1BTZP3wYlQbjnq5L1QUGBc,energetic
28,0.857,0.12,138.004,0.0582,0.0649,0.0896,0.646,204262,-5.2,0.77,4ETZv4djcbgj8qrC8acKLL,energetic
29,0.687,0.122,107.992,0.0319,0.0041,0.611,0.651,242747,-7.371,0.374,5MEKqNAOlgt3sh5o0iq8EM,energetic
30,0.884,0.0478,107.96,0.0448,0.000254,0.000347,0.516,336113,-3.706,0.448,1PLMK1ui86iHHG3FM1N7ue,energetic
31,0.872,0.0997,166.3,0.068,0.00417,0.00975,0.356,193653,-7.837,0.607,3dOAXUx7I1qnzWzxdnsyB8,energetic
32,0.912,0.106,116.761,0.0564,2.55e-05,0.000173,0.502,301920,-4.556,0.72,1f3yAtsJtY87CTmM8RLnxf,energetic
33,0.894,0.269,90.604,0.0579,0.000387,0.000661,0.59,199893,-3.661,0.732,0SjhCnjTT2bXD9RtU8bFT9,energetic
34,0.943,0.091,85.064,0.0602,0.00293,8.71e-06,0.442,181533,-3.205,0.781,6L89mwZXSOwYl76YXfX13s,energetic
35,0.466,0.272,123.889,0.0864,0.00666,0.35,0.745,231920,-7.62,0.303,3m6KkYKdnbffMpGd9Pm9FP,energetic
36,0.981,0.386,134.007,0.06,0.0171,1.07e-05,0.58,195667,-2.603,0.861,1bx7OUl2UmAnA5oZkm9If7,energetic
37,0.664,0.133,104.56,0.0371,0.000389,0.000655,0.279,237027,-8.851,0.49,0ancVQ9wEcHVd0RrGICTE4,energetic
38,0.726,0.0606,119.991,0.182,0.000883,1.1e-05,0.822,195652,-4.974,0.837,6xL1QFBJoyhGKhVOFrHkhX,energetic
39,0.938,0.167,91.455,0.0456,0.0179,0.0,0.618,269000,-3.442,0.875,3ZOEytgrvLwQaqXreDs2Jx,energetic
